"totexp","pclothes"
6,0.1833
15,0.1133
6,0.3333
9,0.0778
12,0.0125
13,0.0923
10,0.3
15,0.28
3,0.1667
6.5,0.3769
20,0.075
28,0.0286
6,0.0417
12,0.0183
25,0.024
44.5,0.0787
12,0.0208
37,0.0568
3.8,0.5
28,0.05
8,0.0438
15.5,0.0355
13,0.1308
30,0.1167
33,0.0303
9,0.0389
15,0.1733
50,0.1
7,0.0857
5,0.15
18,0.0611
18,0.1111
20,0.095
13,0.0115
25,0.12
9,0.3
15.5,0.1548
7.7,0.1299
10,0.03
10.5,0.0381
25,0.058
5,0.1
25,0.058
10,0.02
29,0.2414
12,0.0833
4.5,0.1
15,0.1467
10,0.16
6,0.0667
8,0.1875
4,0.375
30,0.0192
12,0.5833
15,0.0633
40,0.225
9,0.2111
13.5,0.1852
28,0.1429
34,0.1971
25,0.06
25,0.028
13,0.1923
29,0.0621
17,0.0059
10,0.23
9,0.0667
10,0.17
12.55,0.239
8,0.125
10,0.1
18,0.0556
7,0.4286
15,0.1667
4,0.2
16,0.1438
28,0.1786
3,0.49
15,0.0333
50,0.08
18,0.0833
25,0.1
29.7,0.0084
25,0.022
8,0.0563
15.5,0.0451
30,0.04
25,0.0116
9.95,0.201
20,0.03
23,0.2174
60,0.05
11,0.0273
5.5,0.3145
4,0.0475
5,0.14
7.5,0.0933
7.5,0.0267
37,0.0059
28,0.0607
5.5,0.0691
8,0.0313
6,0.0583
58,0.0103
13.8,0.087
10,0.07
5,0.1
17.18,0.2328
5,0.056
9,0.2222
12.5,0.24
10.5,0.0571
3,0.0833
3.5,0.1
10,0.1
5,0.15
1.9,0.1974
10,0.145
4.5,0.0867
1.3,0.2308
5,0.23
3,0.1567
9.8,0.0306
5,0.2
2.7,0.0667
10,0.09
3.6,0.2222
8,0.0875
25,0.34
2.8,0.1607
17,0.2353
3,0.19
9,0.1111
5,0.075
8.6,0.2326
4,0.045
8,0.1
25,0.376
5,0.5
14,0.0607
0.8,0.6375
2.3,0.2174
4.5,0.1722
18,0.1667
2,0.1
8,0.25
4.5,0.0267
4,0.05
2.9,0.1034
13,0.0231
7,0.0429
32,0.0875
22,0.1273
11.5,0.2174
4,0.11
4.5,0.1556
4.2,0.1333
3.8,0.0447
14.5,0.1379
11,0.0727
3,0.25
7,0.0457
8.9,0.0865
19,0.0789
16,0.075
13,0.0308
10,0.2
7.5,0.0867
3.5,0.0571
